,feature,importance
123,Mean paragraph Length,0.08552581597220266
6,Colons,0.028670838884272448
112,Lexical diversity,0.020653862685450664
46,Dale Chall Known Fraction,0.016975989354803336
905,which,0.014522923843319942
1,Ari Index,0.014067432853163713
47,Dale Chall Score,0.013894820096807401
19,DT_JJ_NN___END__,0.013621771289959918
7,Commas,0.013171798368527964
382,ding,0.012723154331904421
286,ange,0.0107806690179214
786,so,0.010585211590963
113,Lix Index,0.010317702313139311
202,Smog Index,0.010186245400676338
732,renc,0.010097306887846784
787,some,0.010029656052663675
723,read,0.009889487136405153
918,woul,0.0097571406729014
187,Punctuation,0.009675656460859133
420,enti,0.009364707221514635
54,Flesch Reading Ease,0.009336361326632946
282,ampl,0.008960121754186628
83,IN_NN_IN,0.00877008820529697
162,NN_NN_IN,0.008505425592935007
675,other,0.008422359860013011
68,IN_DT_NNS,0.008171769720305177
215,UpperCase Letters,0.00811707706788645
291,any,0.008043761980711068
121,Mean Sentence Length,0.007986769205729008
100,JJ_NN_CC,0.007788877755083548
86,IN_NN___END__,0.0077261889875997304
413,ence,0.007686050565183843
145,NN_IN_JJ,0.007626397983826951
192,RB_DT_NN,0.007438050341232818
677,ould,0.007346965650649974
56,Gunning Fog Index,0.007278932734002022
443,exam,0.007204978128605713
59,Hyphens,0.007166458150329329
50,Even more special characters,0.007106471036355504
606,mple,0.006970712558329453
922,xamp,0.006804881777336974
108,JJ_NN___END__,0.006782819069671393
679,ount,0.00665380667479497
778,side,0.006525685864460018
156,NN_IN_PRP,0.0061502433275287816
840,these,0.006106577262970101
99,JJ_NNS___END__,0.00610627677739002
449,fere,0.006101355112225736
22,DT_NNS_IN,0.00606934299157422
611,my,0.005962598331755122
504,i,0.005690849368923516
637,nten,0.0056729868644577975
175,Numbers,0.005602540490480973
592,mber,0.005524851792049238
842,thin,0.005227487780849114
511,ider,0.00519473861353285
710,prop,0.004935054156641468
776,sibl,0.004874541381688797
35,DT_NN_NN,0.004703376332145637
360,cons,0.004564033032698721
53,Flesch Kincaid Grade,0.004518887889449445
419,ente,0.004453285458136436
441,even,0.004259117389874361
476,has,0.004246299438149295
805,such,0.004173237416261473
26,DT_NN_IN_DT,0.004134160152378533
9,DT_JJ_JJ,0.00401354712159781
406,efer,0.0040130940585331575
333,but,0.0039906747342619755
676,ough,0.0038928634323444505
517,ific,0.003861882576217151
879,up,0.0037827748869730888
617,nder,0.0037603343457587135
24,DT_NN_CC,0.0036922259479060513
634,nsid,0.003673923773633124
4,CC_DT_NN,0.0035285597370207193
901,weve,0.003468095821630389
800,stio,0.0034300214485515922
852,ting,0.003364475368055009
165,NN_NN___END__,0.0032983043302467294
239,VB_IN_DT,0.0032827713540853377
638,nter,0.0032803285507656183
42,DT_NN_VBZ,0.0032774189461362447
170,NN_VBZ_DT,0.0032321928130162342
260,able,0.003186379283010588
502,howe,0.0031490071349792215
761,scri,0.003136929839003821
547,it's,0.003117215955462765
713,ques,0.0030543882827143375
203,Spaces,0.0030496004398878457
320,be,0.0030340921002825765
236,VB_DT_JJ_NN,0.0029980122493118676
381,diff,0.00296751337885541
251,__START___DT_NN,0.0029472851008948797
357,conc,0.002885931210340942
505,ible,0.0028855989945702253
116,MD_VB_DT,0.002836134091075272
188,Q,0.002831716392618478
844,those,0.00276278209072619
534,inte,0.0027520740897921353
707,pres,0.002698164831711769
702,port,0.002673169579057589
155,NN_IN_NN___END__,0.0026670283181629683
194,RB_IN_DT,0.0026406734012905386
595,ment,0.002587082654852084
231,VBZ_DT_NN_IN,0.002579104421721038
172,NN_VBZ_IN,0.002577811534549318
237,VB_DT_NN,0.0025610916102089577
200,Semicolons,0.002555529172553746
933,your,0.0025503473978419166
686,owev,0.0025376424115064865
5,Coleman Liau Index,0.002487315980831328
302,as,0.0024464796919206155
262,about,0.00244465734261047
756,rtic,0.0024331989567357073
15,DT_JJ_NN_IN,0.0024091241076910665
501,how,0.002386333611922351
597,migh,0.002379684503170587
412,emen,0.0023724607149171405
828,than,0.0023442881869948284
161,NN_MD_VB,0.0023347642433048663
692,peci,0.002330603923400386
334,by,0.002279383863560988
897,well,0.0022605992475103432
733,rent,0.002260288611526872
564,lear,0.002257914977409203
928,you,0.0022548052972261564
851,time,0.002217985218770488
244,Words with >= 3 syllables,0.0022091905774469546
428,eren,0.002174008596596368
207,TO_DT_NN,0.0021657930285433847
422,ents,0.0021284563887247173
457,firs,0.002100801367193682
483,he,0.002087936891784686
57,H,0.0020652695095960227
75,IN_DT_NN_VBZ,0.0020188769708706805
235,VB_DT_JJ,0.0019781026180775204
452,ffer,0.0019741586991912
342,cert,0.0019411795886110379
616,nclu,0.0019226934924192708
80,IN_NNP_NNP,0.0019002030517100527
660,only,0.0018794362555355282
82,IN_NN_CC,0.001876639936622544
88,IN_PRP_MD_VB,0.0018446284044191352
90,IN_PRP_VBP,0.001836314136425878
728,rect,0.0018328987466950753
293,appr,0.0017963525549972387
135,NNS_IN_NN,0.0017765344890541658
238,VB_DT_NN_IN,0.0017731684541338023
39,DT_NN_RB,0.0017603570158459178
105,JJ_NN_NN,0.0017401557931681147
535,into,0.0017291921104096643
744,ring,0.001720394393642473
815,tand,0.0017123408023224807
916,work,0.0017031544923302858
458,foll,0.001695112309381126
442,ever,0.001644728945012972
28,DT_NN_IN_NN,0.0016118188482497598
185,PRP_VBP_RB,0.0016006765847166832
558,know,0.0015618632578256058
435,esti,0.0015540414725495237
133,NNS_IN_DT_JJ,0.0015538314894599772
124,Mean syllables per word,0.001548056828492107
887,vide,0.001543881760280736
678,ound,0.0015335941885321247
230,VBZ_DT_NN,0.0015212742828381485
163,NN_NN_IN_DT,0.0015170592786896372
94,JJ_IN_DT,0.0015163254323351132
182,PRP_VBP_DT,0.0014871861154163216
880,used,0.0014264846581040758
14,DT_JJ_NN_CC,0.0014242556254084285
335,call,0.0014152472725827954
661,onsi,0.0013893110729734535
909,why,0.0013768228517891071
843,this,0.0013647808158030472
16,DT_JJ_NN_NN,0.0013509099256582252
179,PRP_MD_VB,0.001344514840600808
454,fica,0.001335025842111095
130,NNP_NNP_NNP,0.0013295260766358135
832,their,0.001308106756495226
869,uest,0.0012800590726703507
515,if,0.0012790068004245986
907,who,0.001277438644982786
180,PRP_MD_VB_DT,0.0012433241475970859
759,same,0.0012410037967938885
596,meth,0.0012350356562624122
229,VBZ_DT_JJ_NN,0.0012346307439943577
201,Simpson Vocabulary Richness,0.0012225645823876873
391,don't,0.0012149069388670832
790,ssib,0.001201828192334583
153,NN_IN_NN_IN,0.0011925530000801514
149,NN_IN_NNP,0.0011853086391037577
705,poss,0.0011758797394261999
573,ling,0.0011713240692899337
556,just,0.0011671093974094256
858,tory,0.0011631083835785384
755,rtai,0.0011623876737763444
178,PRP_MD_RB_VB,0.001128690051148179
516,iffe,0.0011158861554243099
582,long,0.0011032369984383646
84,IN_NN_IN_DT,0.0010923727411325686
301,arti,0.001081251262021593
397,earl,0.0010798413041646644
578,lled,0.0010661025212192622
280,also,0.0010528595043799705
252,__START___DT_NN_IN,0.001045543782551308
268,after,0.0010291474086649222
258,__START___PRP_VBP,0.0010210130926776874
72,IN_DT_NN_NN,0.001019867187928664
529,ined,0.0010188834905367455
765,sent,0.0010123220099924931
927,ying,0.0010047510591136386
427,ered,0.000983270800395045
641,ntly,0.0009826583533228386
813,take,0.0009792079845135453
106,JJ_NN_TO_VB,0.0009768154492267324
626,ning,0.0009728313971151117
279,ally,0.0009675294402470019
607,mpor,0.0009673109483375554
405,edit,0.0009617416046606204
841,they,0.0009455483622527613
283,an,0.0009441052216943774
445,expe,0.0009342470639891194
495,hing,0.0009296982672982858
593,me,0.0009234438325483593
571,like,0.0009199613604308542
839,there,0.0009143731790700893
531,ings,0.0009105841408286842
232,VBZ_IN_DT,0.0009098425428847325
845,thou,0.0009074932170796365
792,stan,0.0009059414073111677
3,C,0.0008989804139684318
151,NN_IN_NNS,0.0008953972933231595
903,when,0.0008797138085835718
